pert_iname	classes
ketocholesterol	HMGCR inhibitor
ABC-294640	Sphingosine kinase inhibitor
Ac-Leu-Leu-Nle-CHO	Proteasome inhibitor
adapalene	Retinoid receptor agonist
aminoresveratrol	Phosphodiesterase inhibitor
anacardic-acid	Glyceraldehyde 3-phosphate dehydrogenase inhibitor
BG-1005	HDAC inhibitor
BG-1013	HDAC inhibitor
BG-1032	HDAC inhibitor
BML-210	HDAC inhibitor
BML-266	SIRT inhibitor
BML-278	SIRT activator
BML-284	WNT agonist
diaminoquinazoline	Anticancer agent
BML-286	WNT signaling inhibitor
bafilomycin	ATPase inhibitor
butyrolactone	Histone acetyltransferase inhibitor
C2-dihydroceramide	Inactive form of C2 ceramide
CTPB	Histone acetyltransferase activator
cardamonin	NFkB pathway inhibitor
carnosol	Antioxidant
dithiothreitol	Reducing agent
diarylsulfonesulfonamide	Frizzled related protein-1 inhibitor
dibutyryl-cAMP-Na	CAMP stimulant
dihydrocapsaicin	TRPV agonist
ellagic-acid	Glutathione transferase inhibitor|Reverse transcriptase inhibitor|Aldose reductase inhibitor|Beta-secretase inhibitor|HCV inhibitor|HIV integrase inhibitor|Quorum sensing signaling modulator
exifone	Nootropic agent
FH-535	PPAR receptor antagonist
foxy-5	WNT5a peptide mimetic
gallic-acid	PPAR receptor agonist|Beta amyloid aggregation inhibitor|Beta amyloid protein neurotoxicity inhibitor|Beta amyloid inhibitor
garcinol	Histone N-acetyltransferase inhibitor
glucosamine	Precursor in the synthesis of glycosylated proteins and lipids
harmine	DYRK inhibitor
hexachlorophene	Potassium channel activator
IM-12	Glycogen synthase kinase inhibitor
IQ1	WNT signaling inhibitor
ITSA-1	HDAC activator
IWP-2	WNT signaling inhibitor
ionomycin	Calcium channel modulator
isonicotinamide	Nicotinamide derivative
licochalcone-a	Topoisomerase inhibitor
lithium-chloride	Antiviral
M-344	HDAC inhibitor
MC-1293	HDAC inhibitor
NO-ASA	Cyclooxygenase inhibitor
oxamflatin	HDAC inhibitor
PMSF	Serine protease inhibitor
plumbagin	Apoptosis stimulant
purpurogallin	Catechol O methyltransferase inhibitor
STF-62247	Autophagy inducer
spermidine	Glutamate receptor modulator
suberoyl-bis-hydroxamic-acid	HDAC inhibitor
TNP-470	Methionine aminopeptidase inhibitor
timosaponin	MTOR inhibitor
trehalose	Pharmacological chaperone
triacetylresveratrol	TP53 activator
usnic-acid	Bacterial DNA inhibitor
valproxam	HDAC inhibitor
WAY-262611	WNT agonist
z-guggulsterone	FXR antagonist|Progesterone receptor agonist
Z-36	BCL inhibitor
SA-97110	Caspase inhibitor
AZD-1152HQPA	Aurora kinase inhibitor
l-buthionine-sulfoximine	Gamma-glutamylcysteine synthetase inhibitor
cisplatin	DNA alkylating agent|DNA synthesis inhibitor
iniparib	PARP inhibitor
alpha-tocopherol	Antioxidant
BRD-K93367411	Kelch-like ECH-associated protein ligand
BRD-K98948170	Kelch-like ECH-associated protein ligand
COL-3	Matrix metalloprotease inhibitor
MW-SHH-151	Hedgehog pathway modulator
MW-SHH-250	Hedgehog pathway modulator
MW-SHH-97	Smoothened receptor antagonist
MW-SHH-98	Hedgehog pathway modulator
MW-SHH-28	Hedgehog pathway modulator
avicin-d	NFkB pathway inhibitor
avicin-g	NFkB pathway inhibitor
tert-butylhydroquinone	ATPase inhibitor|MAP kinase inhibitor
tigecycline	Bacterial 30S ribosomal subunit inhibitor
dabrafenib	RAF inhibitor
MRE-269	Platelet aggregation inhibitor|Prostanoid receptor agonist
avrainvillamide-analog-3	Nucleophosmin inhibitor
avrainvillamide-analog-5	Nucleophosmin inhibitor
ENMD-2076	Aurora kinase inhibitor|FLT3 inhibitor|VEGFR inhibitor
equol	Estrogen receptor agonist
avrainvillamide-analog-2	Nucleophosmin inhibitor
avrainvillamide-analog-1	Nucleophosmin inhibitor
avrainvillamide-analog-4	Nucleophosmin inhibitor
avrainvillamide-analog-6	Nucleophosmin inhibitor
PF-543	Sphingosine kinase inhibitor
AT-9283	Aurora kinase inhibitor|JAK inhibitor|Abl kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|Mitotic inhibitor|Protein kinase inhibitor
MK-5108	Aurora kinase inhibitor
alisertib	Aurora kinase inhibitor
AVA	Nucleophosmin inhibitor
